Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement
No,Travel_Rarely,Sales,6,2,Life Sciences,1,Healthcare Representative,131160,1.0,0,1.0,6,0,3.0,4.0,2.0,3
Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,Research Scientist,41890,0.0,1,6.0,3,1,3.0,2.0,4.0,2
No,Travel_Frequently,Research & Development,17,4,Other,4,Sales Executive,193280,1.0,3,5.0,2,0,2.0,2.0,1.0,3
No,Non-Travel,Research & Development,2,5,Life Sciences,3,Human Resources,83210,3.0,3,13.0,5,7,4.0,4.0,3.0,2
No,Travel_Rarely,Research & Development,10,1,Medical,1,Sales Executive,23420,4.0,2,9.0,2,0,4.0,1.0,3.0,3
No,Travel_Rarely,Research & Development,8,3,Life Sciences,4,Research Director,40710,3.0,0,28.0,5,7,3.0,2.0,2.0,3
Yes,Travel_Rarely,Research & Development,11,2,Medical,2,Sales Executive,58130,2.0,1,5.0,2,0,1.0,3.0,1.0,3
No,Travel_Rarely,Research & Development,18,3,Life Sciences,2,Sales Executive,31430,2.0,3,10.0,2,0,1.0,2.0,3.0,3
No,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Laboratory Technician,20440,0.0,0,10.0,2,7,2.0,4.0,3.0,3
No,Non-Travel,Research & Development,7,4,Medical,4,Laboratory Technician,134640,1.0,1,6.0,2,1,2.0,1.0,3.0,3
No,Travel_Rarely,Research & Development,17,2,Medical,2,Laboratory Technician,79910,0.0,2,21.0,2,4,3.0,4.0,3.0,2
No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Laboratory Technician,33770,0.0,2,16.0,2,10,,4.0,3.0,3
No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Sales Executive,55380,0.0,0,37.0,2,4,4.0,1.0,3.0,3
Yes,Non-Travel,Research & Development,1,1,Medical,1,Research Scientist,57620,1.0,2,10.0,4,9,1.0,2.0,2.0,2
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Manufacturing Director,25920,1.0,0,5.0,2,0,4.0,4.0,2.0,3
No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Healthcare Representative,53460,4.0,0,7.0,2,0,3.0,4.0,4.0,3
No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Laboratory Technician,42130,1.0,3,3.0,3,1,4.0,3.0,4.0,2
No,Non-Travel,Research & Development,1,3,Medical,2,Sales Executive,41270,2.0,1,15.0,2,0,1.0,4.0,3.0,3
No,Travel_Rarely,Sales,7,4,Life Sciences,1,Sales Representative,24380,7.0,0,10.0,5,6,2.0,2.0,2.0,2
No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Manager,68700,1.0,1,8.0,5,7,1.0,1.0,3.0,3
No,Travel_Frequently,Research & Development,1,4,Other,2,Laboratory Technician,104470,1.0,0,6.0,3,1,3.0,2.0,1.0,3
No,Travel_Rarely,Sales,8,4,Life Sciences,1,Research Scientist,96670,3.0,0,28.0,2,1,1.0,2.0,2.0,2
No,Travel_Rarely,Research & Development,11,4,Life Sciences,2,Research Scientist,21480,3.0,0,21.0,2,1,3.0,3.0,2.0,3
No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Manufacturing Director,89260,1.0,0,,4,11,2.0,3.0,3.0,1
No,Travel_Frequently,Research & Development,16,4,Medical,1,Laboratory Technician,65130,1.0,1,10.0,2,0,2.0,4.0,2.0,3
No,Travel_Rarely,Research & Development,1,4,Other,1,Research Scientist,67990,3.0,0,12.0,2,0,2.0,4.0,3.0,3
No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Manager,162910,1.0,0,5.0,3,3,1.0,1.0,3.0,3
No,Travel_Rarely,Sales,5,1,Marketing,1,Research Scientist,27050,1.0,0,17.0,2,5,4.0,4.0,3.0,3
Yes,Travel_Frequently,Research & Development,1,2,Medical,2,Research Scientist,103330,3.0,1,19.0,2,0,4.0,3.0,1.0,2
No,Travel_Rarely,Sales,2,3,Marketing,1,Manager,44480,9.0,0,10.0,3,1,4.0,4.0,3.0,2
Yes,Travel_Rarely,Research & Development,4,3,Medical,3,Research Scientist,68540,2.0,0,5.0,5,0,1.0,2.0,3.0,2
No,Travel_Rarely,Research & Development,7,3,Other,1,Human Resources,96370,1.0,0,5.0,6,0,4.0,4.0,3.0,2
No,Travel_Frequently,Research & Development,1,1,Medical,2,Research Scientist,35910,9.0,0,22.0,2,1,3.0,1.0,3.0,3
No,Travel_Rarely,Sales,5,3,Technical Degree,3,Sales Executive,54050,4.0,0,10.0,2,7,3.0,2.0,3.0,3
No,Travel_Frequently,Research & Development,9,4,Medical,1,Sales Executive,46840,1.0,1,2.0,4,2,4.0,2.0,2.0,3
Yes,Travel_Rarely,Research & Development,8,3,Medical,2,Manager,157870,1.0,2,8.0,5,7,4.0,4.0,3.0,3
No,Travel_Frequently,Sales,9,1,Marketing,1,Laboratory Technician,15140,1.0,0,4.0,3,1,2.0,4.0,2.0,3
No,Travel_Frequently,Sales,2,2,Marketing,3,Research Director,29560,5.0,0,23.0,2,4,3.0,2.0,4.0,3
Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Sales Executive,23350,1.0,2,0.0,3,0,3.0,3.0,3.0,2
No,Travel_Rarely,Sales,20,2,Life Sciences,1,Laboratory Technician,51540,0.0,0,12.0,2,6,3.0,2.0,2.0,2
No,Travel_Frequently,Research & Development,8,3,Other,3,Sales Executive,69620,4.0,2,4.0,2,0,3.0,,3.0,2
No,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Laboratory Technician,56750,5.0,0,13.0,2,1,4.0,2.0,3.0,2
No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Laboratory Technician,23790,1.0,0,22.0,6,0,4.0,2.0,3.0,3
No,Travel_Rarely,Sales,7,3,Life Sciences,1,Research Scientist,38120,1.0,0,0.0,3,0,4.0,3.0,3.0,3
No,Travel_Rarely,Research & Development,9,3,Medical,1,Sales Representative,46480,0.0,2,9.0,2,0,2.0,1.0,3.0,2
No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Manufacturing Director,29360,4.0,1,10.0,2,7,2.0,4.0,2.0,3
No,Travel_Rarely,Sales,5,4,Marketing,2,Human Resources,21050,0.0,0,19.0,3,3,3.0,4.0,2.0,3
No,Non-Travel,Research & Development,5,4,Life Sciences,1,Sales Executive,85780,7.0,0,11.0,4,0,2.0,2.0,3.0,3
No,Travel_Rarely,Sales,2,3,Marketing,2,Laboratory Technician,27060,1.0,1,13.0,4,4,4.0,3.0,2.0,3
No,Travel_Rarely,Research & Development,5,2,Life Sciences,3,Research Scientist,63840,3.0,2,19.0,4,0,1.0,2.0,3.0,2
No,Non-Travel,Research & Development,2,3,Life Sciences,2,Manufacturing Director,39680,2.0,2,12.0,3,1,4.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,20,1,Technical Degree,3,Research Scientist,99070,0.0,1,6.0,3,0,3.0,4.0,3.0,2
No,Travel_Rarely,Sales,7,4,Marketing,2,Sales Executive,132250,3.0,1,9.0,2,1,1.0,1.0,3.0,3
No,Travel_Frequently,Research & Development,3,1,Medical,1,Sales Executive,35400,1.0,0,24.0,6,9,1.0,1.0,3.0,3
No,Travel_Rarely,Sales,16,4,Marketing,2,Research Scientist,28040,0.0,2,3.0,0,2,3.0,4.0,1.0,3
No,Travel_Frequently,Research & Development,9,3,Life Sciences,4,Research Director,193920,6.0,1,12.0,3,8,4.0,2.0,3.0,3
No,Travel_Rarely,Sales,1,4,Life Sciences,1,Sales Executive,196650,1.0,1,21.0,6,11,3.0,1.0,3.0,3
No,Travel_Frequently,Research & Development,7,4,Medical,4,Research Scientist,24390,0.0,0,9.0,2,1,3.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Manufacturing Director,73140,7.0,0,25.0,2,0,3.0,3.0,3.0,3
Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,2,Research Scientist,47740,2.0,1,11.0,2,7,3.0,2.0,2.0,3
No,Travel_Rarely,Research & Development,15,4,Medical,3,Research Scientist,39020,1.0,0,4.0,2,1,3.0,2.0,2.0,3
No,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Research Scientist,26620,1.0,1,13.0,6,11,3.0,2.0,3.0,4
No,Travel_Rarely,Research & Development,13,2,Medical,4,Research Director,28560,1.0,2,5.0,5,0,4.0,3.0,3.0,4
No,Travel_Rarely,Sales,24,3,Life Sciences,2,Healthcare Representative,10810,4.0,3,13.0,4,1,4.0,4.0,3.0,4
No,Travel_Rarely,Research & Development,7,3,Technical Degree,2,Healthcare Representative,24720,7.0,0,10.0,2,0,1.0,4.0,2.0,3
Yes,Travel_Rarely,Research & Development,9,4,Medical,1,Sales Executive,56730,5.0,1,5.0,4,2,1.0,4.0,2.0,2
No,Travel_Rarely,Research & Development,13,3,Life Sciences,4,Research Director,41970,1.0,0,11.0,3,1,4.0,4.0,3.0,3
No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Manager,97130,1.0,0,10.0,5,8,3.0,3.0,3.0,2
No,Travel_Frequently,Research & Development,19,4,Medical,1,Research Scientist,20620,1.0,0,21.0,4,13,3.0,4.0,3.0,3
Yes,Travel_Rarely,Research & Development,1,1,Medical,1,Laboratory Technician,42840,4.0,1,12.0,0,0,4.0,3.0,2.0,3
No,Travel_Frequently,Sales,4,2,Life Sciences,4,Research Scientist,47880,3.0,1,9.0,0,0,2.0,4.0,2.0,3
No,Travel_Rarely,Research & Development,4,3,Life Sciences,2,Healthcare Representative,59060,4.0,0,21.0,4,1,4.0,3.0,3.0,4
No,Travel_Frequently,Research & Development,14,3,Medical,5,Research Director,38860,1.0,2,9.0,2,0,3.0,3.0,4.0,3
No,Non-Travel,Research & Development,2,3,Life Sciences,1,Research Director,168230,0.0,0,6.0,3,1,3.0,2.0,3.0,3
No,Travel_Frequently,Research & Development,1,4,Life Sciences,2,Research Scientist,29330,3.0,2,20.0,2,0,4.0,3.0,2.0,3
No,Travel_Rarely,Research & Development,7,2,Life Sciences,2,Manager,65000,8.0,0,10.0,3,0,3.0,1.0,2.0,3
No,Travel_Rarely,Sales,3,1,Marketing,1,Sales Executive,171740,9.0,1,12.0,6,9,4.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,2,4,Other,4,Research Scientist,50330,2.0,2,6.0,6,0,2.0,4.0,2.0,3
Yes,Travel_Rarely,Research & Development,29,3,Medical,1,Research Scientist,23070,1.0,1,7.0,0,0,2.0,1.0,2.0,3
No,Travel_Rarely,Human Resources,8,3,Medical,3,Sales Representative,25870,0.0,2,4.0,3,2,2.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,10,3,Life Sciences,2,Research Scientist,55070,1.0,2,10.0,2,1,4.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,11,2,Medical,1,Manager,43930,1.0,1,8.0,2,0,2.0,2.0,3.0,2
No,Travel_Rarely,Sales,1,4,Life Sciences,2,Healthcare Representative,133480,7.0,0,8.0,4,0,4.0,4.0,2.0,3
No,Travel_Rarely,Research & Development,28,4,Medical,1,Laboratory Technician,65830,0.0,0,12.0,1,2,3.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,6,3,Medical,3,Manager,81030,1.0,1,11.0,5,4,3.0,4.0,,3
No,Travel_Rarely,Research & Development,3,4,Life Sciences,3,Sales Executive,39780,1.0,0,7.0,0,1,4.0,2.0,3.0,3
No,Travel_Rarely,Sales,16,2,Technical Degree,3,Manager,25440,0.0,1,17.0,3,0,3.0,2.0,3.0,4
No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Manufacturing Director,53990,1.0,0,4.0,2,0,3.0,4.0,2.0,2
No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Laboratory Technician,54870,6.0,2,8.0,0,1,4.0,2.0,3.0,3
No,Travel_Frequently,Sales,1,3,Medical,2,Laboratory Technician,68340,3.0,1,5.0,2,0,2.0,3.0,3.0,4
No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Manager,10910,2.0,0,16.0,0,0,1.0,4.0,3.0,1
No,Non-Travel,Sales,22,4,Marketing,2,Human Resources,57360,1.0,0,4.0,1,0,4.0,3.0,2.0,2
No,Travel_Rarely,Sales,7,4,Medical,3,Research Scientist,22260,0.0,1,4.0,3,1,3.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,2,3,Medical,2,Research Scientist,57470,1.0,0,8.0,0,0,3.0,2.0,3.0,3
No,Travel_Rarely,Sales,13,4,Medical,4,Sales Executive,98540,3.0,1,15.0,2,0,1.0,3.0,1.0,2
No,Travel_Rarely,Research & Development,8,5,Technical Degree,2,Manufacturing Director,54670,4.0,0,13.0,2,6,3.0,1.0,3.0,3
